Заголовок;Содержимое;Описание;Категория;Артикул;Изображение;В наличии;Цена;Цена на распродаже;Начало распродажи;Время начала распродажи;Дата окончания распродажи;Время окончания распродажи;Масса;Размер;Мощность;Высота стекла;Рамка
SMART  1V     ;;;Серия Smart;S 925;;;1285.0;;;;;;160.0;;8 kW;450.0;черная 
SMART  1V;;;Серия Smart;SV511;;;1358.0;;;;;;160.0;;8 kW;450.0;латунная 
SMART  1V     ;;;Серия Smart;S 201;;;1410.0;;;;;;160.0;;8 kW;450.0;узкая золотая  
SMART  1V     ;;;Серия Smart;S 365;;;1885.0;;;;;;160.0;;8 kW;450.0;широкая золотая  
SMART  1V     ;;;Серия Smart;S 210;;;1410.0;;;;;;160.0;;8 kW;450.0;узкая хромированная 
SMART  1V     ;;;Серия Smart;S 949;;;1885.0;;;;;;160.0;;8 kW;450.0;широкая хромированная 
SMART  1V     ;;;Серия Smart;S 946;;;1885.0;;;;;;160.0;;8 kW;450.0;шлифованная, полированная  стальная 
SMART  1V     ;;;Серия Smart;S 321;;;1435.0;;;;;;160.0;;8 kW;510.0;черная 
SMART  1V     ;;;Серия Smart;S 313;;;1510.0;;;;;;160.0;;8 kW;510.0;латунная 
SMART  1V     ;;;Серия Smart;S 664;;;1560.0;;;;;;160.0;;8 kW;510.0;узкая золотая  
SMART  1V     ;;;Серия Smart;S 520;;;2035.0;;;;;;160.0;;8 kW;510.0;широкая золотая  
SMART  1V     ;;;Серия Smart;S 748;;;1560.0;;;;;;160.0;;8 kW;510.0;узкая хромированная 
SMART  1V     ;;;Серия Smart;S 504;;;2035.0;;;;;;160.0;;8 kW;510.0;широкая хромированная 
SMART  1V     ;;;Серия Smart;S 545;;;2035.0;;;;;;160.0;;8 kW;510.0;шлифованная, полированная  стальная 
SMART  1V     ;;;Серия Smart;S 295;;;1540.0;;;;;;160.0;;8 kW;570.0;черная 
SMART  1V     ;;;Серия Smart;S 487;;;1615.0;;;;;;160.0;;8 kW;570.0;латунная 
SMART  1V     ;;;Серия Smart;S 515;;;1665.0;;;;;;160.0;;8 kW;570.0;узкая золотая  
SMART  1V     ;;;Серия Smart;S 853;;;2140.0;;;;;;160.0;;8 kW;570.0;широкая золотая  
SMART  1V     ;;;Серия Smart;S 751;;;1665.0;;;;;;160.0;;8 kW;570.0;узкая хромированная 
SMART  1V     ;;;Серия Smart;S 910;;;2140.0;;;;;;160.0;;8 kW;570.0;широкая хромированная 
SMART  1V     ;;;Серия Smart;S 394;;;2140.0;;;;;;160.0;;8 kW;570.0;шлифованная, полированная  стальная 
SMART  1V h;;;Серия Smart;Sh519;;;2190.0;;;;;;180.0;;8 kW;450.0;черная 
SMART  1V h;;;Серия Smart;Sh865;;;2263.0;;;;;;180.0;;8 kW;450.0;латунная 
SMART  1V h;;;Серия Smart;Sh136;;;2315.0;;;;;;180.0;;8 kW;450.0;узкая золотая  
SMART  1V h;;;Серия Smart;Sh826;;;2788.0;;;;;;180.0;;8 kW;450.0;широкая золотая  
