Заголовок;Содержимое;Описание;Категория;Артикул;Изображение;В наличии;Цена;Цена на распродаже;Начало распродажи;Время начала распродажи;Дата окончания распродажи;Время окончания распродажи;Масса;Размер;Мощность;Высота стекла;Рамка
SMART  1V     ;;;Топки / Hajduk /  Smart;S 106686;;;1285.0;;;;;;160.0;;8 kW;450.0;черная 
SMART  1V;;;Топки / Hajduk /  Smart;SV852659;;;1358.0;;;;;;160.0;;8 kW;450.0;латунная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 300739;;;1410.0;;;;;;160.0;;8 kW;450.0;узкая золотая  
SMART  1V     ;;;Топки / Hajduk /  Smart;S 977768;;;1885.0;;;;;;160.0;;8 kW;450.0;широкая золотая  
SMART  1V     ;;;Топки / Hajduk /  Smart;S 99532;;;1410.0;;;;;;160.0;;8 kW;450.0;узкая хромированная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 859206;;;1885.0;;;;;;160.0;;8 kW;450.0;широкая хромированная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 413426;;;1885.0;;;;;;160.0;;8 kW;450.0;шлифованная, полированная  стальная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 669666;;;1435.0;;;;;;160.0;;8 kW;510.0;черная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 431555;;;1510.0;;;;;;160.0;;8 kW;510.0;латунная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 809287;;;1560.0;;;;;;160.0;;8 kW;510.0;узкая золотая  
SMART  1V     ;;;Топки / Hajduk /  Smart;S 26042;;;2035.0;;;;;;160.0;;8 kW;510.0;широкая золотая  
SMART  1V     ;;;Топки / Hajduk /  Smart;S 873049;;;1560.0;;;;;;160.0;;8 kW;510.0;узкая хромированная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 880883;;;2035.0;;;;;;160.0;;8 kW;510.0;широкая хромированная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 35213;;;2035.0;;;;;;160.0;;8 kW;510.0;шлифованная, полированная  стальная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 385397;;;1540.0;;;;;;160.0;;8 kW;570.0;черная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 604183;;;1615.0;;;;;;160.0;;8 kW;570.0;латунная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 900165;;;1665.0;;;;;;160.0;;8 kW;570.0;узкая золотая  
SMART  1V     ;;;Топки / Hajduk /  Smart;S 830266;;;2140.0;;;;;;160.0;;8 kW;570.0;широкая золотая  
SMART  1V     ;;;Топки / Hajduk /  Smart;S 587284;;;1665.0;;;;;;160.0;;8 kW;570.0;узкая хромированная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 310366;;;2140.0;;;;;;160.0;;8 kW;570.0;широкая хромированная 
SMART  1V     ;;;Топки / Hajduk /  Smart;S 921534;;;2140.0;;;;;;160.0;;8 kW;570.0;шлифованная, полированная  стальная 
SMART  1V h;;;Топки / Hajduk /  Smart;Sh718468;;;2190.0;;;;;;180.0;;8 kW;450.0;черная 
SMART  1V h;;;Топки / Hajduk /  Smart;Sh496730;;;2263.0;;;;;;180.0;;8 kW;450.0;латунная 
SMART  1V h;;;Топки / Hajduk /  Smart;Sh31686;;;2315.0;;;;;;180.0;;8 kW;450.0;узкая золотая  
SMART  1V h;;;Топки / Hajduk /  Smart;Sh685052;;;2788.0;;;;;;180.0;;8 kW;450.0;широкая золотая  
SMART  1V h;;;Топки / Hajduk /  Smart;Sh352071;;;2315.0;;;;;;180.0;;8 kW;450.0;узкая хромированная 
